word,hyperonym,text,url
КНУТ,орудие,"Орудие — инструмент вообще.
Развитие общества и человека напрямую связано с совершенствованием орудий труда. Производство орудий труда — процесс коллективный, который является его важнейшим, определяющим признаком. Животные могут использовать природные предметы в собственных действиях, но никогда не изготавливают орудия труда с помощью орудий труда. Даже самые примитивные орудия труда закрепляли и передавали другим индивидам инстинктивно незакрепленные «схемы деятельности». В орудиях труда, их форме и функциях закреплены идеальные, исторически выработанные, обобщенные способы трудовой деятельности. Орудия труда заставляют человека действовать по логике всеобщей схемы труда. В процессе обучения овладение орудиями труда становится важнейшим средством социализации индивидов, приобщения их к нормам культуры. Орудия труда были первыми предметными, материальными «абстракциями», что оказало влияние на процессы становления и развития собственно мышления. 
","https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BE%D1%80%D1%83%D0%B4%D0%B8%D0%B5

https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D1%83%D0%B4%D0%B8%D0%B5_%D1%82%D1%80%D1%83%D0%B4%D0%B0"
КНУТ,наказание,"Наказание — это мера государственного принуждения, применяемая государством в отношении лица, признанного виновным в совершении преступления, и состоящая в определённом сужении его правового статуса, наделении его особыми правами и обязанностями. 
Термин «наказание» в психологии означает действие, которое совершается с целью уменьшения, по крайней мере временно, вероятности того, что какое-либо поведение наказанного повторится. Предполагаемая цель наказания — побудить человека или животное не вести себя данным образом. Это наиболее общий метод контроля поведения.

По Б. Ф. Скиннеру, наказание может быть осуществлено двумя различными способами, которые он называет «позитивное наказание» и «негативное наказание».

Примеры позитивного наказания: если дети плохо себя ведут, то их ставят в угол или шлёпают; если студенты пользуются шпаргалками на экзамене, то их исключают из вуза; если взрослых ловят на краже, их штрафуют или сажают в тюрьму.

Негативное наказание состоит в том, что за определённым не одобряемым поведением человека следует устранение (возможного) позитивного подкрепляющего стимула. Например, детям запрещают смотреть телевизор из-за плохого поведения, с работником, нарушающим трудовую дисциплину, расторгают трудовой договор. 

Отдельно стоит упомянуть кнут, использовавшийся в России до середины XIX века как орудие наказания (штрафа) и пытки. По свидетельству Н. Н. Евреинова («История телесных наказаний в России», 1913 года) кнут для наказания состоял из трёх частей: деревянной ручки длиной примерно 0,35 метра, прикреплённой к плетёному кожаному столбцу длиной около 0,7 метра, оканчивавшемуся медным кольцом, к кольцу уже крепилась «рабочая» часть длиной тоже примерно 0,7 метра. Последняя, «рабочая» часть изготавливалась из широкой полосы толстой воловьей кожи (около одного сантиметра толщиной), согнутой для придания дополнительной жесткости уголком (уголок вдоль полосы кожи) и загнутой на конце в виде когтя. Иногда края рабочей части затачивались. Эту часть кнута предварительно вымачивали в специальных растворах, например, вываривали в воске или молоке, и высушивали на солнце[источник не указан 1898 дней]. «Рабочая» часть кнута могла быть дополнительно оплетена тонкой проволокой для придания кнуту дополнительной жёсткости. Таким образом, кнут палача был тяжёлым ударным орудием[источник не указан 1898 дней]. Правильный удар кнутом должен был рассекать кожу и подлежащие ткани до костей — это служило индикатором, что палач бьёт в полную силу (во времена Ивана Грозного, если палач бил слабо — рисковал занять место наказуемого)[источник не указан 1898 дней]. Во время нанесения ударов кнут отсыревал в крови и терял жёсткость, поэтому после каждых 10—15 ударов кнут меняли на новый[6]. ",https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BD%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5
КНУТ,рыба,"На мелководье у самого берега хорошо видны в прозрачной тёплой воде зонтики аурелий, искорками просверкивают стайки мальков, черноморский бычок высунул пучеглазую толстогубую мордочку из-под обросшего водорослями камня. 
Вот только если собрались ловить кнута подальше от берега, то и с мидией и с рачком можно остаться в пролёте. 
Бычок — молодой домашний бык; часто так называют и других молодых самцов парнокопытных.",https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%B1%D1%8B%D1%87%D0%BE%D0%BA
КНУТ,угроза,"Обещание причинить какое-л. зло, неприятность. Мужики заперли его исправника с двумя писарями в волостном правлении и, в свою очередь, грозили их сжечь. Исправник не поверил угрозе. Герцен, Былое и думы. — Кабы я был губернатором, я бы твоего сына — повесил! --- От этой злой угрозы на нее повеяло мертвым холодом.
Угро́за — запугивание, обещание причинить кому-либо вред, зло.

Угроза оглашения компрометирующих сведений (истинных или ложных) называется шантажом. Попытка получения чужого имущества путём угрозы называется вымогательством.

Сама по себе угроза есть не более как обнаружение умысла, и, по распространённому мнению, уже потому не может считаться наказуемой. Кроме того, похвальба причинить зло отнюдь еще не свидетельствует ни о намерении совершить деяние, воспрещенное законом под страхом наказания, ни о возможности его совершения. В старой немецкой доктрине делались неудачные попытки подводить угрозу под понятие покушения на преступление. Для наказуемости угрозы должно существовать самостоятельное основание. Так смотрят на вопрос многие юристы и кодексы, но в определении этого основания обнаруживается значительное различие взглядов. Одни (Глазер) считали угрозу наказуемой, как средство принуждения; другие (Неклюдов, Лохвицкий) относили её к области обид; третьи признавали угрозу разновидностью посягательств на свободу, находя, что сущность её заключается в воздействии на психическую деятельность угрожаемого, свобода коего относительно совершения или несовершения каких-либо действий, под влиянием угрозы, отменяется или ограничивается. 

Необходимость самовластья и прелести кнута. А. С. Пушкин, «(в эпиграмме на Историю Карамзина)».
Нельзя умолчать, когда под покровом религии и защитою кнута проповедуют ложь и безнравственность как истину и добродетель. В. Г. Белинский, «Письмо Н. В. Гоголю», 1847 г. 
Андрюшка Размётнов — этот рыском живёт, внатруску, лишнего не перебежит и не переступит, пока ему кнута не покажешь М. А. Шолохов, «Поднятая целина» 
Такие люди только кнут понимают да палку. 
",https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D1%83%D0%B3%D1%80%D0%BE%D0%B7%D0%B0
КНУТ,фамилия,"Дональд Эрвин Кнут (англ. Donald Ervin Knuth, МФА: /kəˈnuːθ/; род. 10 января 1938 года, Милуоки, штат Висконсин) — американский учёный в области информатики, эмерит-профессор Стэнфордского университета, почетный доктор СПбГУ и других университетов, преподаватель и идеолог программирования, автор 19 монографий (в том числе ряда классических книг по программированию) и более 160 статей, разработчик нескольких известных программных технологий. Автор всемирно известной серии книг, посвящённой основным алгоритмам и методам вычислительной математики, а также создатель настольных издательских систем ΤΕΧ и METAFONT, предназначенных для набора и вёрстки книг научно-технической тематики (в первую очередь — физико-математических). ","https://ru.wikipedia.org/wiki/%D0%9A%D0%BD%D1%83%D1%82,_%D0%94%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%B4_%D0%AD%D1%80%D0%B2%D0%B8%D0%BD"
КНЯЖЕНИЕ,Власть,"Власть — это возможность навязать свою волю, управлять или воздействовать на других людей, даже вопреки их сопротивлению.

Суть власти не зависит от того, на чём основана такая возможность. Власть может базироваться на различных методах: демократических и авторитарных, честных и нечестных, насилии и мести, обмане, провокациях, вымогательстве, стимулировании, обещаниях и т. д.

Считается, что власть появилась с возникновением человеческого общества и будет в той или иной форме всегда сопутствовать его развитию. Она необходима для организации общественного производства, которое требует подчинения всех участников единой воле, а также для регулирования других взаимоотношений между людьми в обществе.

Специфической разновидностью является политическая власть — способность определённой социальной группы или класса осуществлять свою волю, оказывать воздействие на деятельность других социальных групп или классов. В отличие от иных видов власти (семейной, общественной и др.), политическая власть оказывает своё влияние на большие группы людей, использует в этих целях специально созданный аппарат и специфические средства. Наиболее сильным элементом политической власти является государство и система государственных органов, реализующих государственную власть. 

Княжение это исторический. период, в течение которого кто-либо княжит.
Княжить значит осуществлять власть над княжеством.",https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%B2%D0%BB%D0%B0%D1%81%D1%82%D1%8C
КНЯЖЕНИЕ,Управление,"Управление (философия) — деятельность субъекта по изменению объекта для достижения некоторой цели.

Управление — структурное подразделение в организации (например, «Управление сельского хозяйства Минобороны России»).

Управление (в организации) — синоним понятия менеджмент.

Управление — это процесс прогнозирования, планирования, организации, мотивации, координации и контроля, необходимый для того, чтобы сформулировать и достичь цели организации. 
С распространением владений колонии англичане постепенно ввели всю систему английского управления. Высшая власть вверена губернатору; но как губернатор в военное время имеет пребывание на границах колонии, то гражданская власть возложена на его помощника или наместника (lieutenant). 

На княжение новгородское был выдвинут Олег, опытный и хитрый воин. 
Родоначальник Лаврецких выехал в княжение Василия Темного из Пруссии.
Княжение это процесс управление княжеством.
",https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5
КНЯЖЕНИЕ,Правление,"Устаревшая форма термина «Управление». 
Коллегиальный исполнительный орган, обычно выборный, стоящий во главе какого-либо учреждения или организации (член правления, правление колхоза, председатель правления).
Племена, возглавляемые вождями, обычно более предрасположены к войнам, чем те, у которых демократическая форма правления.
Так начался пятнадцатый год его правления.
В это время готовились не только два столь знаменитые и встревожившие общество указа об уничтожении придворных чинов и об экзаменах на чины коллежских асессоров и статских советников, но и целая государственная конституция, долженствовавшая изменить существующий судебный, административный и финансовый порядок управления России от государственного совета до волостного правления. 
После Насона Моисеича принял бразды правления какой-то коллежский секретарь. Княжение есть форма правления(управления).",https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5
КНЯЖЕНИЕ,Руководство,"И все это, взятое вместе, составляло, по мнению начальства, «твердо обдуманную воспитательную систему, принятую педагогическим советом на основании глубокого и всестороннего изучения вверенных его руководству детских натур и прочного доверия, питаемого воспитанниками к их воспитателям». 
деятельность руководителя. Искусство руководства есть серьезное дело. Сталин. Только руководство коммунистической партии обеспечило победу пролетарской революции и построение социалистического государства рабочих и крестьян. Княжение есть осуществление руководства над княжеством.",https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE
КНЯЖЕНИЕ,действие,"Действие есть работа, состояние действующего.
Княжение это состояние князя.
действие единица деятельности, целенаправленная преднамеренная активность, осуществляемая субъектом деятельности произвольно. В широком смысле действием является любое мотивированное поведение. Направленность действия необязательно осознается субъектом. Смысл действия также может быть скрыт от осознания. 
",https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B8%D0%B5
